,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
405,It is hard to understand any of this.,"In his book ""The Stewardship of Wealth"" Gregory Curtis says exactly this: He says that before the Industrial Revolution the world was in a zero sum wealth straitjacket.
      ",straitjacket,economic system,,0,,,,,,
406,This will cost him in the South.,"I thought we'd let the sleeping dog of gun-control lie, but as another DU'er put it, ""we just keep pissing on the electric fence.""
      ",dog,issue,,0,,,,,,
407,"To the Editor,","Does tax greed ever stop?
      ",greed,increase,,0,,,,,,
408,"of pasturage, tillage, or planting, is called, as indeed it is, waste; and we shall find the benefit of it amount to little more than nothing.","This shews how much numbers of men are to be preferred to largeness of dominions; and that the increase of lands, and the right employing of them, is the great art of government: and that prince, who shall be so wise and godlike, as by established laws of liberty to secure protection and encouragement to the honest industry of mankind, against the oppression of power and narrowness of party, will quickly be too hard for his neighbours: but this by the by.
      ",art,increased land useage,,0,,,,,,
409,[EMPTY],"This is a largely descriptive account of the lives of three of the leaders of the Chinese democracy movement who were jailed for their participation in the Tiananmen Square protests of 1989.
    ",movement,not metaphorical,,0,,,,,,
410,"Eboo Patel, a scholar and activist who founded the Interfaith Youth Core, calls in his essay for the vigorous participation of religion in public life, founded on principles of religious pluralism.","He argues that religious voices, in all their particularity, have a legitimate and important role to play in public debate.
      ",voices,opinions,,0,,,,,,
411,Reply,"Mark says: March 13, 2012 at 7:27 am SYZ’s died of bureaucratic overdose.
      ",overdose,excess,,0,,,,,,
412,"But still no joy on the FY2006 Financial report, which MUST have been complete in order to generate the NTD report.... it is still apparently stuck somewhere in the vicinity of KPMG's ascending colon, or so METRO says....","Apparently the Harris County DA's office is only partially effective as a bureaucratic laxative.
      ",laxative,reform,,0,,,,,,
413,"By himself, no.","He got his little taxation victory over the so called fiscal cliff when they raised taxes on people making over $400K but he got kicked in the balls on any tax highs for the sequestration.
      ",victory,agreement,,0,,,,,,
414,"This guy, like most of us, wanted to get rich fast.","My friend made a bad decision to leave a steady job in pursuit of a personal idol of wealth.
      ",idol,goal,,0,,,,,,
415,"Government control would inevitably lead to waste, rationing of crucial services, excruciatingly long waiting periods, and a crisis far worse than what we face today.","Some believe that bureaucratic medicine will cure what ails the insurance system in America.
      ",medicine,reform,,0,,,,,,
416,"2113, bnolan@clw.org Washington, D.C. –Council for a Livable World released its 2010 Senate election analysis today, stating that the outcome of yesterday’s election has created a Congress that will most likely be more dysfunctional over the next two years than it has been over the past two years.","However, Executive Director of Council for a Livable World John Isaacs noted, “In the wreckage of the election, there are few shards of hope.
      ",wreckage,election results,,0,,,,,,
417,"After that statement, you counterbalance those tales with your jaunts to an expensive school among Those Who Have a Lot, the blatantly poor, and the secret poor.","You omit the mental gymnastics you played to hide how much you wished that Those Who Have a Lot knew you when, so they’d understand how much it hurt when they’d pipe up in class about how poverty is a birthright of the irresponsible and the deranged, the deviant and the demented.
      ",birthright,inevitability,,0,,,,,,
418,It has happened......maybe not independently wealthy.,"But with the money, he could afford a real MP5....think of all the guns and ammunition he could buy with some of that money... Colorado Springs settles lawsuit after mistaken gun arrest
      ",arrest,not metaphorical,,0,,,,,,
419,"Modern tech gives 1 guy the ablity to mow down a row of people in seconds, something that a knife or a bad to do.","A gun is a substance of power, not just a simple inadimate object.
      ",substance,attribute,,0,,,,,,
420,Even those who opposed the war in Iraq should be glad that the seeds of democracy in Iraq have been sown.,"If these democratic sprouts are carefully cultivated, they will grow into a thriving orchard of democracy that will bear wonderful fruits not just for Iraq but for all the peoples of the conflicted Middle East.
      ",sprouts,ideas,,0,,,,,,
421,All the patient needed to say is 'none of your business'.,"But no, some pro gun moron actually decided that there needed to be a law.
      ",moron,not metaphorical,,0,,,,,,
422,Abolishing guns from commercial trade and lack of gun management will also add hardship upon court prosecutors to utilize evidence of weapon used in relating to the crime.,"Socialism & Totalitarianism Influence Complete depletion of guns from commercial trade will influence effects of socialism and totalitarianism to be seen upon a country’s social and government infrastructures.
      ",depletion,removal,,0,,,,,,
423,"Pre-occupied with Islamic terror, the force of Islamic ideology is considered to be much more formidable than the Communist ideology.","Faith, fatalism and passionate appeal in morality being the motivating forces that make this ideology an oddly nostalgic kind, undeterred by diplomatic manoeuvring or economic manipulation or military authoritativeness.
      ",manoeuvring,politics,,0,,,,,,
